Membrane,Term,Date,Day Entry,Day,Source,Details,Value,Pence
2,Michaelmas,1301-10-18,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
3,Michaelmas,1301-10-26,,Thursday,NOTHING,NOTHING,NOTHING,0.0
3,Michaelmas,1301-10-28,,Saturday,NOTHING,NOTHING,NOTHING,0.0
3,Michaelmas,1301-11-01,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
3,Michaelmas,1301-11-02,,Thursday,NOTHING,NOTHING,NOTHING,0.0
4,Michaelmas,1301-11-11,,Saturday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-11-20,,Monday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-11-23,,Thursday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-11-24,,Friday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-11-25,,Saturday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-11-30,,Thursday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-12-06,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
5,Michaelmas,1301-12-08,,Friday,NOTHING,NOTHING,NOTHING,0.0
6,Michaelmas,1301-12-16,,Saturday,NOTHING,NOTHING,NOTHING,0.0
6,Hilary,1302-01-16,,Tuesday,NOTHING,NOTHING,NOTHING,0.0
6,Hilary,1302-01-17,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
6,Hilary,1302-01-18,,Thursday,NOTHING,NOTHING,NOTHING,0.0
6,Hilary,1302-01-20,,Saturday,NOTHING,NOTHING,NOTHING,0.0
6,Hilary,1302-01-25,,Thursday,NOTHING,NOTHING,NOTHING,0.0
7,Hilary,1302-02-02,,Friday,NOTHING,NOTHING,NOTHING,0.0
7,Hilary,1302-02-10,,Saturday,NOTHING,NOTHING,NOTHING,0.0
7,Hilary,1302-02-14,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
7,Hilary,1302-02-15,,Thursday,NOTHING,NOTHING,NOTHING,0.0
7,Hilary,1302-02-22,,Thursday,NOTHING,NOTHING,NOTHING,0.0
8,Hilary,1302-02-24,,Saturday,NOTHING,NOTHING,NOTHING,0.0
8,Hilary,1302-03-03,,Saturday,NOTHING,NOTHING,NOTHING,0.0
9,Hilary,1302-03-13,,Tuesday,NOTHING,NOTHING,NOTHING,0.0
9,Hilary,1302-03-15,,Thursday,NOTHING,NOTHING,NOTHING,0.0
9,Hilary,1302-03-17,,Saturday,NOTHING,NOTHING,NOTHING,0.0
9,Easter,1302-05-01,,Tuesday,NOTHING,NOTHING,NOTHING,0.0
10,Easter,1302-05-03,,Thursday,NOTHING,NOTHING,NOTHING,0.0
13,Easter,1302-05-30,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
13,Easter,1302-05-31,,Thursday,NOTHING,NOTHING,NOTHING,0.0
13,Easter,1302-06-06,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
14,Trinity,1302-06-28,,Thursday,NOTHING,NOTHING,NOTHING,0.0
14,Trinity,1302-06-29,,Friday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-05,,Thursday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-07,,Saturday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-09,,Monday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-10,,Tuesday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-17,,Tuesday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-19,,Thursday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-20,,Friday,NOTHING,NOTHING,NOTHING,0.0
16,Trinity,1302-07-25,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
17,Trinity,1302-08-01,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
18,Trinity,1302-08-08,,Wednesday,NOTHING,NOTHING,NOTHING,0.0
